claim_id,customer_id,policy_id,age,insurance_type,region,claim_amount,policy_annual_premium,months_as_customer,num_previous_claims,police_report_filed,witnesses,injury_claim,vehicle_claim,total_claim_amount,fraud_reported
1,8270,350231,66,Life,Agadir,3503.58,4656.63,163,2,1,0,0,1,2780.73,0
2,1860,112940,45,Home,Marrakech,4778.3,12185.36,57,2,1,0,1,1,1770.65,0
3,6390,480171,36,Home,Tangier,714.74,962.84,72,2,0,2,1,1,5280.62,0
4,6191,641220,40,Travel,Tangier,2577.45,9112.39,69,3,0,1,0,1,2633.23,1
5,6734,326377,62,Life,Casablanca,682.63,13167.66,214,2,1,2,0,1,2842.86,0
6,7265,550043,49,Health,Marrakech,3188.04,6446.21,28,1,1,2,0,1,2479.23,0
7,1466,124648,30,Travel,Rabat,6157.9,4405.11,204,1,1,1,0,0,6816.66,0
8,5426,132966,50,Home,Marrakech,2523.91,7629.78,33,3,1,1,1,0,1386.1,0
9,6578,520993,51,Life,Rabat,956.99,10903.42,53,2,1,3,1,1,8885.32,0
10,9322,355733,50,Auto,Rabat,1777.38,7990.78,122,1,1,1,0,1,8120.09,0
11,2685,263639,73,Life,Marrakech,25879.62,610.77,16,3,0,1,0,0,8171.66,1
12,1769,346331,22,Life,Fes,16977.37,1635.71,154,1,1,2,1,1,1843.49,0
13,7949,142598,73,Home,Marrakech,1555.17,10959.26,140,2,1,0,1,0,6239.06,0
14,3433,290271,20,Home,Rabat,1545.92,6299.29,87,0,1,1,1,1,18096.79,0
15,6311,507014,24,Health,Agadir,2616.16,11879.25,218,3,0,0,0,1,1468.98,1
16,6051,947516,41,Health,Tangier,13195.28,9917.6,105,1,0,2,0,1,5890.55,1
17,7420,799597,39,Travel,Tangier,364.62,8931.98,77,3,1,2,0,1,1613.14,0
18,2184,820857,62,Auto,Casablanca,1531.18,13569.94,87,1,1,1,0,0,3739.01,0
19,5555,755538,40,Health,Tangier,4883.33,809.17,31,2,1,1,1,1,4757.22,0
20,4385,348004,47,Home,Fes,4251.62,2748.0,100,0,1,2,0,1,2608.9,0
21,7396,117118,35,Life,Rabat,1784.37,9553.45,155,0,1,1,1,1,2320.2,0
22,9666,122616,49,Travel,Marrakech,2202.28,1454.51,36,3,0,3,1,0,6349.28,1
23,3558,231870,73,Health,Marrakech,4434.43,9852.07,59,2,0,1,0,0,1789.79,0
24,8849,369745,70,Life,Fes,1821.7,14769.76,239,1,1,2,1,0,8237.67,0
25,3047,911795,24,Life,Tangier,832.03,13242.72,106,2,1,1,0,1,28046.26,0
26,3747,102795,50,Health,Rabat,2386.34,9068.3,215,2,1,1,0,0,1369.44,0
27,1189,197462,22,Auto,Tangier,3741.45,13462.66,230,2,1,0,1,0,1289.76,0
28,3734,538480,66,Auto,Casablanca,232.91,2185.89,3,0,1,0,1,1,1079.68,1
29,4005,465036,45,Travel,Tangier,4772.7,7093.07,222,1,0,2,1,1,3052.44,0
30,5658,434977,25,Auto,Casablanca,9595.13,6715.8,121,3,1,1,1,0,11592.08,0
31,2899,622904,32,Travel,Marrakech,1941.65,5378.49,160,2,0,1,1,1,12680.24,0
32,8734,365228,69,Home,Rabat,1984.38,502.92,15,3,0,1,0,1,7489.72,0
33,2267,982297,21,Health,Agadir,1228.93,13419.92,230,1,1,0,1,1,6005.23,0
34,2528,569862,51,Life,Casablanca,2482.79,11776.75,75,1,1,1,0,1,17602.58,0
35,4556,887163,22,Travel,Tangier,1525.68,9966.43,194,1,1,1,0,1,3013.0,0
36,4890,232201,50,Auto,Tangier,16934.81,2370.02,218,3,1,3,1,1,8593.58,1
37,9838,259094,74,Travel,Marrakech,3461.74,5983.97,191,2,0,1,1,1,35786.79,0
38,6393,363749,22,Travel,Fes,226.55,13902.74,226,3,0,2,0,1,16880.47,0
39,9792,177506,55,Auto,Agadir,5911.42,9445.48,1,1,0,1,0,0,1602.16,0
40,9433,864601,51,Auto,Fes,23458.02,9249.45,203,1,0,0,1,1,2754.27,1
41,8513,144130,43,Health,Tangier,5491.09,13740.34,133,0,0,2,0,1,37565.47,0
42,3612,263402,18,Life,Fes,12431.89,8617.59,90,3,0,0,1,1,2763.86,1
43,8041,954901,21,Health,Agadir,6718.48,9165.54,6,2,1,1,1,0,24304.77,0
44,7235,246259,56,Health,Agadir,9790.63,5512.88,227,2,0,0,1,0,3191.75,0
45,6486,519007,71,Auto,Rabat,9234.96,5885.89,133,2,1,1,0,1,4028.05,0
46,8099,452580,43,Auto,Fes,9362.83,10441.3,116,1,1,1,0,0,1962.85,0
47,1775,301682,50,Life,Rabat,4359.06,5146.31,73,1,1,2,0,0,2328.12,0
48,9226,474485,50,Travel,Tangier,380.68,8607.06,156,2,1,3,1,1,4042.38,0
49,4152,323034,25,Health,Tangier,806.62,4548.35,211,4,1,2,0,0,5910.84,0
50,2585,609394,37,Life,Tangier,824.56,2908.82,69,0,0,1,1,1,3285.99,0
51,4943,723982,33,Health,Marrakech,143.92,7088.84,215,2,1,1,1,1,9899.45,0
52,8555,644061,38,Travel,Fes,1769.2,3652.97,236,1,1,2,0,1,3293.41,0
53,4073,890671,62,Health,Casablanca,16294.26,13528.17,44,0,0,0,1,0,623.79,1
54,2021,383007,72,Home,Agadir,531.84,4902.39,144,1,1,0,0,0,3993.78,0
55,4843,413559,73,Life,Casablanca,7141.59,9162.33,199,3,1,0,0,1,3061.37,1
56,8989,168968,43,Auto,Tangier,5624.71,4319.91,206,1,0,1,0,1,21750.17,0
57,7873,593891,40,Health,Fes,3928.3,4241.28,150,1,1,2,0,1,12038.66,0
58,6675,684718,35,Life,Rabat,12321.45,5584.22,201,4,1,1,1,1,13271.08,1
59,1161,350072,48,Life,Casablanca,2836.77,13780.18,239,1,1,1,1,0,9923.25,0
60,5297,101515,69,Health,Tangier,18505.62,6176.72,151,1,0,2,0,0,7624.85,1
61,1995,197206,59,Auto,Casablanca,2346.34,12408.36,171,1,1,1,1,1,7601.33,0
62,8629,345282,29,Auto,Casablanca,4500.92,3360.82,68,2,1,1,1,0,12369.33,0
63,2016,859990,18,Health,Agadir,2515.12,1198.46,171,0,1,0,0,1,8778.67,0
64,8869,507821,59,Life,Casablanca,983.82,11834.33,154,2,1,1,1,0,2901.54,0
65,7439,942672,26,Auto,Tangier,592.35,8357.19,41,2,1,1,0,0,1193.6,0
66,8892,105586,20,Health,Agadir,5944.91,7804.02,70,1,0,2,1,0,745.0,0
67,7863,869565,68,Health,Tangier,15014.09,4446.98,31,1,0,2,1,0,2102.01,1
68,8916,655474,43,Health,Marrakech,3995.75,1548.6,17,0,0,0,0,1,2354.38,0
69,9529,651216,26,Life,Marrakech,5523.36,7501.47,137,1,1,0,0,0,4469.81,0
70,1878,853624,59,Auto,Marrakech,461.65,13074.78,219,1,0,2,1,1,4344.95,0
71,5887,838447,68,Life,Casablanca,4732.98,2240.32,55,1,1,1,1,1,27950.17,0
72,5859,485134,33,Home,Fes,245.79,13972.98,6,1,0,0,0,0,8617.32,1
73,7331,449173,41,Auto,Tangier,710.03,4483.57,198,4,1,0,0,0,2331.37,0
74,9571,644999,67,Life,Marrakech,14780.02,8216.7,192,0,0,0,0,1,19370.04,1
75,9684,679250,31,Auto,Fes,3030.19,1464.37,132,1,0,1,0,0,3905.15,0
76,8208,120039,20,Home,Marrakech,3384.64,6663.18,107,5,1,1,0,1,8660.4,0
77,6276,660849,51,Travel,Marrakech,5793.9,2325.52,195,3,1,1,0,0,7850.49,0
78,3062,306555,50,Health,Fes,7767.91,1195.62,88,1,1,3,0,1,5117.46,0
79,1064,591087,67,Life,Marrakech,2153.84,14515.09,184,0,1,0,0,1,20212.84,0
80,9006,319730,41,Home,Casablanca,4236.53,11086.37,18,1,1,0,1,0,2740.3,0
81,3568,101577,26,Home,Casablanca,2742.39,10926.34,160,2,0,1,0,1,5589.46,0
82,6463,207792,30,Auto,Agadir,474.19,1812.97,213,0,0,1,0,0,1994.5,0
